Yahoo_Ticker,Code,銘柄名,Type,市場・商品区分,33業種区分,規模区分
1301.T,1301,極洋,Stock,プライム（内国株式）,水産・農林業,TOPIX Small 1
1306.T,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF,ETF・ETN,-,-
1321.T,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF,ETF・ETN,-,-
1332.T,1332,ニッスイ,Stock,プライム（内国株式）,水産・農林業,TOPIX Mid400
1333.T,1333,マルハニチロ,Stock,プライム（内国株式）,水産・農林業,TOPIX Mid400
1357.T,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF,ETF・ETN,-,-
1375.T,1375,ユキグニファクトリー,Stock,プライム（内国株式）,水産・農林業,TOPIX Small 2
1376.T,1376,カネコ種苗,Stock,スタンダード（内国株式）,水産・農林業,TOPIX Small 2
1377.T,1377,サカタのタネ,Stock,プライム（内国株式）,水産・農林業,TOPIX Small 1
1379.T,1379,ホクト,Stock,プライム（内国株式）,水産・農林業,TOPIX Small 2
1414.T,1414,ショーボンドホールディングス,Stock,プライム（内国株式）,建設業,TOPIX Mid400
1417.T,1417,ミライト・ワン,Stock,プライム（内国株式）,建設業,TOPIX Mid400
1419.T,1419,タマホーム,Stock,プライム（内国株式）,建設業,TOPIX Small 1
1435.T,1435,ｒｏｂｏｔ　ｈｏｍｅ,Stock,スタンダード（内国株式）,不動産業,TOPIX Small 2
1514.T,1514,住石ホールディングス,Stock,スタンダード（内国株式）,鉱業,TOPIX Small 2
1515.T,1515,日鉄鉱業,Stock,プライム（内国株式）,鉱業,TOPIX Small 1
1518.T,1518,三井松島ホールディングス,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
1570.T,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF,ETF・ETN,-,-
1605.T,1605,ＩＮＰＥＸ,Stock,プライム（内国株式）,鉱業,TOPIX Mid400
1662.T,1662,石油資源開発,Stock,プライム（内国株式）,鉱業,TOPIX Small 1
1663.T,1663,Ｋ＆Ｏエナジーグループ,Stock,プライム（内国株式）,鉱業,TOPIX Small 1
167A.T,167A,リョーサン菱洋ホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
1716.T,1716,第一カッター興業,Stock,スタンダード（内国株式）,建設業,TOPIX Small 2
1719.T,1719,安藤・間,Stock,プライム（内国株式）,建設業,TOPIX Mid400
1720.T,1720,東急建設,Stock,プライム（内国株式）,建設業,TOPIX Small 1
1721.T,1721,コムシスホールディングス,Stock,プライム（内国株式）,建設業,TOPIX Mid400
1726.T,1726,ビーアールホールディングス,Stock,プライム（内国株式）,建設業,TOPIX Small 2
1762.T,1762,高松コンストラクショングループ,Stock,プライム（内国株式）,建設業,TOPIX Small 2
1766.T,1766,東建コーポレーション,Stock,プライム（内国株式）,建設業,TOPIX Small 1
1780.T,1780,ヤマウラ,Stock,プライム（内国株式）,建設業,TOPIX Small 2
